,H1Agriculture,H2Mining and construction,H3Food processing,H4Other manufacturing,H5Transportation,H6Information,H7Utilities,H8Wholesale trade,H9Retail trade,H10Finance and insurance,H11Real estate and rentals,H12Professional services,H13Business services,H14Educational services,H15Health services,H16Arts and entertainment,H17Hotels ,H18Eating and drinking,H19Other services,H20Government,O1Agriculture,O2Mining and construction,O3Food processing,O4Other manufacturing,O5Transportation,O6Information,O7Utilities,O8Wholesale trade,O9Retail trade,O10Finance and insurance,O11Real estate and rentals,O12Professional services,O13Business services,O14Educational services,O15Health services,O16Arts and entertainment,O17Hotels ,O18Eating and drinking,O19Other services,O20Government,K1Agriculture,K2Mining and construction,K3Food processing,K4Other manufacturing,K5Transportation,K6Information,K7Utilities,K8Wholesale trade,K9Retail trade,K10Finance and insurance,K11Real estate and rentals,K12Professional services,K13Business services,K14Educational services,K15Health services,K16Arts and entertainment,K17Hotels ,K18Eating and drinking,K19Other services,K20Government,M1Agriculture,M2Mining and construction,M3Food processing,M4Other manufacturing,M5Transportation,M6Information,M7Utilities,M8Wholesale trade,M9Retail trade,M10Finance and insurance,M11Real estate and rentals,M12Professional services,M13Business services,M14Educational services,M15Health services,M16Arts and entertainment,M17Hotels ,M18Eating and drinking,M19Other services,M20government enterprises
O5Transportation,0.022,0.006,0.022,0.143,0.049,0.015,0.018,0.027,0.01,0.013,0.029,0.063,0.098,0.001,0.001,0.001,0.131,0.026,0.015,0.011,0.03,1.309,0.236,7.549,6.505,0.746,0.763,2.272,0.403,1.295,2.607,1.665,5.235,0.284,0,0.004,0.046,1.818,0.686,6.79,0.002,0.005,0.01,0.024,0.011,0.015,0.006,0.02,0.003,0.009,0.011,0.041,0.077,0,0.017,0.002,0.071,0.029,0.007,0.011,0.011,0.012,0.012,0.178,0.081,0.015,0.013,0.048,0.014,0.009,0.019,0.037,0.104,0.001,0,0,0.149,0.059,0.019,0.02
O6Information,0.014,0.006,0.01,0.032,0.008,0.048,0.018,0.02,0.01,0.016,0.029,0.089,0.055,0.001,0.002,0.001,0.177,0.022,0.013,0.01,0.017,0.494,0.162,1.358,1.178,4.436,0.934,1.748,1.091,1.386,4.179,2.733,2.729,0.42,0,0.046,0.082,1.053,0.914,1.592,0.002,0.008,0.008,0.003,0.003,0.071,0.01,0.015,0.004,0.013,0.015,0.066,0.028,0.001,0.001,0.004,0.179,0.026,0.008,0.014,0.006,0.017,0.006,0.018,0.021,0.049,0.019,0.037,0.016,0.013,0.024,0.053,0.088,0.001,0,0,0.365,0.044,0.021,0.02
O7Utilities,0.021,0.015,0.03,0.591,0.031,0.021,0.042,0.037,0.028,0.024,0.062,0.098,0.086,0.003,0.001,0.001,0.383,0.022,0.032,0.019,0.064,5.438,0.154,36.275,1.221,0.506,1.108,2.12,1.555,1.6,2.204,2.429,2.815,1.059,0,0.004,0.173,0.891,0.411,1.83,0.002,0.014,0.008,0.049,0.005,0.016,0.019,0.022,0.005,0.018,0.023,0.063,0.036,0.001,0.001,0.004,0.386,0.023,0.012,0.024,0.011,0.038,0.009,0.411,0.061,0.026,0.042,0.062,0.033,0.02,0.047,0.063,0.146,0.002,0,0.001,0.782,0.042,0.047,0.045
O8Wholesale trade,0.018,0.012,0.025,0.119,0.015,0.034,0.031,0.047,0.016,0.024,0.048,0.117,0.138,0.002,0.002,0.001,0.31,0.031,0.024,0.016,0.046,0.779,0.146,4.739,0.802,2.32,2.01,4.416,1.742,2.026,7.383,3.322,8.023,0.243,0,0.002,0.142,1.436,1.383,2.837,0.002,0.013,0.01,0.026,0.005,0.039,0.017,0.037,0.006,0.019,0.024,0.075,0.07,0,0.001,0.005,0.316,0.036,0.013,0.022,0.009,0.033,0.011,0.092,0.045,0.043,0.037,0.087,0.031,0.02,0.045,0.076,0.218,0.002,0,0.001,0.657,0.062,0.039,0.039
O9Retail trade,0.006,0.006,0.007,0.047,0.007,0.014,0.015,0.009,0.009,0.015,0.023,0.053,0.06,0.001,0.001,0.001,0.169,0.011,0.011,0.008,0.021,0.73,0.05,2.441,0.378,0.963,1.972,0.592,1.015,1.434,13.044,1.494,3.533,0.104,0,0.001,0.168,0.518,0.778,1.937,0.001,0.005,0.004,0.007,0.002,0.013,0.006,0.006,0.002,0.01,0.009,0.027,0.029,0,0,0.002,0.12,0.013,0.005,0.008,0.004,0.013,0.004,0.03,0.022,0.017,0.015,0.016,0.014,0.011,0.018,0.035,0.096,0.001,0,0,0.264,0.022,0.015,0.016
O10Finance and insurance,0.012,0.015,0.018,0.053,0.015,0.04,0.038,0.014,0.013,0.122,0.059,0.189,0.098,0.004,0.002,0.001,0.422,0.038,0.027,0.02,0.023,1.099,0.057,2.227,0.858,3.379,1.156,0.675,0.465,17.56,9.189,5.668,4.221,0.453,0,0.002,0.204,1.755,1.692,3.125,0.002,0.014,0.01,0.021,0.005,0.039,0.018,0.011,0.004,0.082,0.026,0.091,0.047,0.001,0.001,0.005,0.362,0.043,0.014,0.024,0.008,0.043,0.01,0.052,0.078,0.05,0.045,0.029,0.021,0.082,0.055,0.113,0.175,0.002,0,0.001,0.874,0.075,0.045,0.049
O11Real estate and rentals,0.004,0.003,0.003,0.023,0.007,0.007,0.007,0.005,0.008,0.019,0.012,0.039,0.03,0.001,0,0,0.07,0.005,0.006,0.004,0.074,1.787,0.044,1.751,0.268,0.433,1.016,0.391,0.689,2.857,6.104,1.301,1.892,0.047,0,0.001,0.032,0.196,3.386,0.372,0,0.003,0.002,0.003,0.001,0.006,0.004,0.004,0.002,0.013,0.005,0.02,0.025,0,0,0.001,0.068,0.006,0.003,0.005,0.002,0.007,0.002,0.027,0.027,0.008,0.008,0.01,0.009,0.013,0.01,0.023,0.047,0,0,0,0.142,0.01,0.009,0.01
O12Professional services,0.008,0.01,0.007,0.046,0.012,0.02,0.026,0.014,0.012,0.015,0.04,0.152,0.053,0.002,0.001,0.001,0.302,0.014,0.018,0.014,0.032,0.531,0.087,1.932,1.441,1.189,1.129,0.893,1.255,1.016,9.844,5.038,1.797,0.206,0,0.001,0.14,0.595,0.774,1.245,0.001,0.012,0.004,0.003,0.004,0.022,0.015,0.011,0.004,0.013,0.02,0.082,0.027,0,0.001,0.004,0.311,0.016,0.01,0.019,0.004,0.029,0.004,0.025,0.046,0.024,0.03,0.026,0.02,0.013,0.035,0.087,0.1,0.001,0,0,0.627,0.028,0.029,0.032
O13Business services,0.006,0.004,0.006,0.043,0.011,0.014,0.012,0.011,0.009,0.01,0.019,0.055,0.051,0.001,0.001,0.001,0.121,0.011,0.009,0.007,0.03,0.243,0.025,1.964,0.856,0.939,0.95,0.918,1.39,0.863,2.97,1.577,3.052,0.147,0,0,0.057,0.494,0.429,1.183,0.001,0.005,0.004,0.012,0.002,0.016,0.007,0.008,0.003,0.008,0.009,0.038,0.025,0,0.001,0.002,0.122,0.012,0.005,0.009,0.004,0.013,0.003,0.069,0.058,0.015,0.014,0.023,0.017,0.008,0.018,0.034,0.081,0.001,0,0,0.25,0.022,0.016,0.018
O14Educational services,0.013,0.004,0.013,0.068,0.008,0.024,0.013,0.015,0.015,0.012,0.024,0.057,0.064,-0.001,0.001,0.002,0.099,0.031,0.011,0.008,0.028,4.053,0.051,2.94,0.861,2.006,1.666,1.15,0.516,0.877,11.255,1.732,3.816,0.687,-0.001,0.004,0.046,1.548,0.677,0.754,0.002,0.007,0.01,0.004,0.002,0.028,0.007,0.008,0.004,0.007,0.008,0.043,0.03,0.001,0.002,0.002,0.096,0.034,0.005,0.011,0.008,0.01,0.008,0.033,0.021,0.021,0.011,0.027,0.01,0.009,0.017,0.036,0.087,0.001,0,0,0.203,0.061,0.015,0.013
O15Health services,0.045,0.01,0.074,0.067,0.013,0.019,0.03,0.026,0.013,0.016,0.046,0.108,0.117,0.002,0.069,0.001,0.236,0.029,0.022,0.015,0.078,0.705,0.388,3.509,1.077,1.011,2.721,1.947,1.216,1.182,9.949,2.903,6.075,0.327,0.268,0.002,0.118,1.303,0.791,2.381,0.004,0.009,0.022,0.005,0.004,0.02,0.014,0.02,0.005,0.012,0.023,0.058,0.063,0.001,0.09,0.003,0.212,0.033,0.011,0.02,0.019,0.026,0.026,0.06,0.073,0.025,0.03,0.046,0.024,0.013,0.039,0.066,0.172,0.002,0.066,0,0.487,0.055,0.031,0.035
O16Arts and entertainment,0.055,0.005,0.031,0.07,0.01,0.028,0.019,0.022,0.014,0.019,0.036,0.124,0.074,-0.001,0.001,0.002,0.123,0.039,0.016,0.012,0.586,1.461,0.587,3.317,1.283,1.495,4.403,1.597,0.534,1.382,10.143,3.886,4.234,0.65,-0.002,0.563,0.058,1.989,1.722,5.174,0.003,0.009,0.017,0.006,0.002,0.027,0.01,0.011,0.007,0.011,0.011,0.095,0.034,0.002,0.004,0.003,0.119,0.045,0.006,0.015,0.02,0.012,0.016,0.093,0.029,0.019,0.014,0.039,0.013,0.015,0.022,0.074,0.1,0.001,0,0,0.254,0.08,0.02,0.018
O17Hotels ,0.021,0.008,0.023,0.063,0.013,0.027,0.022,0.025,0.017,0.03,0.037,0.111,0.151,0.002,0.001,0.001,0.177,0.024,0.018,0.013,0.028,3.666,0.237,3.318,1.209,2.026,5.6,2.128,0.806,3.156,8.062,3.232,10.127,0.139,0,0.01,0.08,1.096,1.113,2.963,0.002,0.008,0.009,0.006,0.003,0.032,0.01,0.019,0.004,0.021,0.016,0.054,0.076,0.001,0.001,0.003,0.176,0.027,0.009,0.015,0.009,0.021,0.01,0.091,0.081,0.032,0.024,0.047,0.021,0.022,0.032,0.069,0.217,0.002,0,0,0.364,0.047,0.029,0.031
O18Eating and drinking,0.407,0.02,0.669,0.11,0.038,0.027,0.062,0.079,0.024,0.026,0.094,0.122,0.161,0.004,0.002,0.001,0.231,0.042,0.048,0.027,0.473,2.488,0.799,8.378,1.367,1.221,6.083,5.224,0.914,1.504,9.023,3.047,3.691,0.132,0,0.033,0.065,1.553,2.312,2.523,0.039,0.01,0.207,0.009,0.006,0.023,0.016,0.048,0.007,0.016,0.023,0.057,0.046,0.001,0.001,0.003,0.181,0.037,0.014,0.022,0.16,0.023,0.255,0.113,0.052,0.024,0.027,0.104,0.024,0.016,0.037,0.063,0.126,0.001,0,0,0.37,0.061,0.033,0.031
O19Other services,0.053,0.008,0.018,0.135,0.015,0.024,0.023,0.025,0.017,0.018,0.04,0.139,0.109,0.002,0.001,0.001,0.17,0.015,0.019,0.014,0.106,1.619,0.985,6.071,1.459,1.896,6.257,1.93,1.509,1.473,13.221,4.256,6.902,0.358,0,0.007,0.078,0.665,1.115,2.432,0.002,0.008,0.007,0.009,0.004,0.028,0.01,0.017,0.005,0.012,0.014,0.063,0.054,0.001,0.001,0.003,0.17,0.016,0.008,0.014,0.01,0.018,0.007,0.068,0.055,0.026,0.021,0.042,0.023,0.014,0.028,0.079,0.156,0.001,0,0,0.349,0.029,0.024,0.025
O20Government,0.003,0.002,0.002,0.016,0.004,0.004,0.004,0.005,0.003,0.002,0.007,0.019,0.013,0,0,0,0.044,0.004,0.003,0.002,0.012,0.635,0.031,0.818,0.203,0.241,0.852,0.441,0.08,0.146,0.607,0.687,0.733,0.094,0,0,0.02,0.16,0.187,0.348,0,0.002,0.001,0.005,0.001,0.004,0.002,0.004,0.001,0.002,0.003,0.011,0.008,0,0,0.001,0.045,0.004,0.002,0.003,0.001,0.004,0.001,0.017,0.008,0.005,0.005,0.009,0.003,0.002,0.006,0.014,0.022,0,0,0,0.092,0.007,0.005,0.005
K1Agriculture,0.11,-0.003,0.029,0.309,-0.004,0.084,0.03,0.045,0.038,0.04,0.071,0.048,0.064,-0.023,0.004,0.014,0.257,0.007,0.025,0.013,0.187,0.204,1.191,20.483,1.804,0.373,0.677,7.152,1.148,2.148,1.265,1.102,1.531,0.122,-0.013,-0.01,0.111,0.44,0.263,0.695,3.561,3.663,1.335,0.135,1.665,1.12,3.589,5.193,1.068,2.893,9.021,2.569,1.701,0.035,0.027,0.053,0.336,0.264,2.434,3.857,0.199,0.006,0.05,0.206,0.135,0.019,0.008,0.284,0.025,0.041,0.034,0.067,0.076,0.001,0,0,0.546,0.043,0.043,0.034
K2Mining and construction,0.023,0.005,0.016,0.238,0.01,0.032,0.025,0.036,0.016,0.016,0.043,0.042,0.109,-0.005,0.002,0.004,0.237,0.012,0.02,0.011,0.035,0.108,0.101,9.887,0.686,0.218,0.365,4.456,1.964,0.607,0.945,1.943,0.838,0.057,-0.004,0.001,0.076,0.336,0.153,0.371,0.045,0.398,0.058,0.06,0.449,0.509,0.724,2.394,2.591,0.713,2.083,3.473,0.869,0.012,0.007,0.034,0.335,0.482,0.901,1.054,0.017,0.014,0.006,0.1,0.071,0.02,0.016,0.129,0.05,0.015,0.026,0.066,0.067,0.001,0,0,0.389,0.042,0.026,0.025
K3Food processing,0.322,0.014,0.054,0.682,0.043,0.127,0.096,0.275,0.171,0.063,0.205,0.535,0.74,-0.017,0.007,0.017,0.485,0.041,0.092,0.059,6.711,0.243,3.826,7.842,1.222,0.249,0.566,4.455,1.306,0.876,1.14,0.985,1.608,0.092,-0.014,-0.01,0.214,0.701,0.19,0.494,14.11,0.978,4.38,0.047,0.879,0.656,2.547,2.697,1.352,0.789,3.901,2.581,5.012,0.031,0.03,0.073,0.818,1.269,2.828,3.485,11.816,0.191,0.169,0.097,0.254,0.052,0.147,0.401,0.1,0.1,0.486,0.128,0.294,0.004,0,0.001,1.147,0.11,0.179,0.223
K4Other manufacturing,2.828,0.197,14.372,0.6,0.872,0.355,0.795,0.683,0.295,0.233,1.054,0.409,1.057,-0.024,0.022,0.046,0.888,0.119,0.522,0.248,0.586,0.203,3.386,8.998,1.303,0.175,0.529,3.459,1.08,0.741,0.818,0.87,1.076,0.135,-0.04,-0.075,0.23,0.587,0.126,0.439,0.617,0.542,3.278,0.093,0.967,0.99,1.313,1.813,0.865,0.49,0.75,1.848,1.817,0.051,0.083,0.049,0.386,0.413,1.49,1.633,0.572,-0.039,0.149,0.086,0.148,-0.013,-0.038,0.254,-0.025,0.101,0.022,0.114,-0.09,0.001,0,0.001,0.783,0.071,0.047,0.015
K5Transportation,0.03,0.001,0.011,0.119,0,0.04,0.019,0.027,0.017,0.019,0.037,0.032,0.039,-0.01,0.002,0.006,0.203,0.007,0.014,0.008,0.044,0.111,0.127,8.295,2.924,0.164,0.278,2.425,0.326,0.693,0.551,0.803,0.87,0.191,-0.006,-0.004,0.06,0.376,0.114,0.412,0.025,2.432,0.125,0.058,1.205,0.969,0.642,0.976,0.224,0.871,1.661,1.872,1.543,0.137,0.023,0.051,0.182,0.611,1.329,13.081,0.028,0.006,0.007,0.129,0.092,0.018,0.007,0.071,0.008,0.018,0.018,0.047,0.064,0.001,0,0,0.3,0.049,0.022,0.02
K6Information,0.065,0.006,0.014,0.252,0.031,0.114,0.052,0.082,0.043,0.047,0.103,0.094,0.158,-0.024,0.006,0.017,0.565,0.058,0.038,0.025,0.065,0.08,0.16,1.977,0.633,0.23,0.165,1.435,0.762,0.804,0.465,1.111,0.452,0.179,-0.014,-0.028,0.135,0.384,0.056,0.183,0.027,0.525,0.143,0.007,0.25,3.846,0.812,0.734,0.901,1.276,3.957,5.241,1.456,0.155,0.03,2.795,0.478,0.759,2.12,1.681,0.042,0.003,0.009,0.016,0.081,0.418,0.005,0.085,0.021,0.044,0.028,0.081,0.026,0.003,0,0.002,0.622,0.077,0.044,0.027
K7Utilities,0.035,0.016,0.042,0.182,0.018,0.061,0.05,0.041,0.027,0.026,0.076,0.089,0.104,-0.006,0.003,0.007,0.622,0.02,0.033,0.021,0.072,0.152,0.161,33.757,0.671,0.242,0.753,1.706,0.757,0.686,0.848,0.907,1.082,0.301,-0.005,-0.007,0.162,0.393,0.229,0.575,0.012,5.052,0.057,0.254,0.201,0.275,0.229,0.461,0.549,0.796,0.51,2.511,0.931,0.252,0.01,0.025,0.732,0.359,0.29,1.467,0.022,0.031,0.009,0.388,0.082,0.022,0.035,0.069,0.027,0.024,0.043,0.059,0.111,0.002,0,0.001,0.842,0.043,0.047,0.043
K8Wholesale trade,0.091,0.027,0.109,3.732,0.081,0.1,0.127,0.122,0.075,0.051,0.204,0.164,0.171,-0.003,0.005,0.01,0.599,0.082,0.115,0.052,0.058,0.106,0.351,5.902,0.605,0.221,0.276,3.019,0.832,0.838,0.676,1.245,1.046,0.309,-0.008,-0.014,0.178,0.474,0.11,0.277,0.041,0.648,0.18,0.034,0.389,3.637,1.26,1.929,0.942,1.385,3.232,5.307,4.218,0.027,0.016,0.145,0.805,0.925,2.762,3.366,0.042,0.034,0.011,0.06,0.102,0.056,0.037,0.128,0.024,0.033,0.053,0.082,0.172,0.002,0,0.001,1.04,0.08,0.052,0.05
K9Retail trade,0.015,0.006,0.008,0.101,0.004,0.026,0.02,0.022,0.011,0.012,0.033,0.042,0.102,-0.003,0.001,0.003,0.222,0.013,0.015,0.009,0.024,0.059,0.085,4.011,0.329,0.14,0.165,1.658,0.642,0.732,0.431,0.803,0.665,0.124,-0.002,-0.004,0.097,0.256,0.072,0.171,0.02,0.837,0.074,0.027,0.23,1.349,1.823,0.399,0.803,1.476,7.737,2.434,1.487,0.018,0.005,0.075,2.171,0.482,1.368,5.904,0.018,0.023,0.005,0.034,0.051,0.033,0.025,0.035,0.023,0.014,0.031,0.047,0.112,0.001,0,0.001,0.571,0.04,0.028,0.029
K10Finance and insurance,0.035,0.018,0.001,0.152,0.006,0.082,0.062,0.028,0.037,0.038,0.099,0.107,0.148,-0.012,0.004,0.01,0.854,0.021,0.04,0.026,0.036,0.074,0.084,1.331,0.327,0.182,0.122,0.584,0.198,3.295,0.496,0.977,0.405,0.112,-0.008,-0.016,0.109,0.259,0.077,0.182,0.013,0.373,0.064,0.005,0.16,1.192,0.358,0.139,0.154,5.396,1.855,4.163,1.161,0.097,0.017,0.054,0.418,0.431,1.122,2.036,0.022,0.009,0.005,0.019,0.067,0.021,0.01,0.034,0.002,0.027,0.021,0.057,0.04,0.001,0,0,0.54,0.046,0.024,0.021
K11Real estate and rentals,0.008,0.001,0.002,0.03,0.001,0.012,0.007,0.008,0.005,0.006,0.013,0.018,0.031,-0.002,0.001,0.002,0.075,0.003,0.005,0.003,0.028,0.029,0.045,1.561,0.248,0.064,0.072,0.812,0.208,0.664,0.207,0.33,0.286,0.02,-0.001,-0.002,0.052,0.092,0.036,0.09,0.05,0.756,0.017,0.011,0.122,0.198,0.34,0.229,0.239,1.043,1.564,0.693,0.44,0.01,0.003,0.022,0.206,0.126,2.306,1.968,0.035,0.019,0.002,0.016,0.032,0.013,0.02,0.021,0.01,0.009,0.023,0.024,0.058,0.001,0,0,0.467,0.015,0.02,0.021
K12Professional services,0.07,0.118,0.046,0.99,0.089,0.153,0.282,0.156,0.072,0.089,0.368,0.321,0.598,0.005,0.008,0.013,3.96,0.119,0.175,0.113,0.057,0.175,0.753,7.426,1.627,0.391,0.45,7.621,1.461,1.043,1.314,3.176,1.388,0.173,-0.004,-0.007,0.338,0.716,0.215,0.526,0.041,1.153,0.136,0.045,0.818,1.756,1.561,1.558,1.716,1.491,4.818,10.488,1.987,0.118,0.009,0.112,1.684,1.335,2.801,3.664,0.039,0.094,0.017,0.084,0.902,0.08,0.085,0.132,0.06,0.039,0.104,0.163,0.278,0.004,0,0.002,1.842,0.113,0.097,0.153
